QUEST_20150317_000001	$Por favor, selecione o usuário que precisa de uma atualização de quest.
QUEST_20150918_002417	$O povo de Fedimian vive de acordo com os ensinamentos de Maven.{nl}Mas o Lorde Demônio perverteu isso. Os Reveladores puniram ele direitinho em nome da deusa. {nl}Agora, o que você quer que eu veja?{nl}
QUEST_20150918_002418	Eu ouvi dizer que um Revelador salvou a Torre da Maga. {nl}Fedimian deveria estar segura agora, né? {nl}De qualquer jeito, você pode encontrar alguns itens úteis, então fique à vontade. {nl}
QUEST_20150918_002419	As expectativas quanto ao Revelador estão crescendo entre o povo de Fedimian. {nl}As notícias estão se espalhando sobre certo Revelador que derrotou o Lorde Demônio que controlava a Grande Catedral.{nl}Bem, você não precisa comprar nada, fique à vontade.
QUEST_20150918_002420	Parece que tem algo na grama.
QUEST_20150918_002421	{memo X}O que ela procurava, mesmo enquanto estava morrendo? {nl}Certamente, há uma história trágica por trás disso tudo.
QUEST_20150918_002422	Então algo aconteceu. {nl}Um colega do clero, não me lembro quem, assassinou Dion enquanto ele dormia usando uma maça e eu... {nl}Todos... {nl}Ninguém consegue mais se lembrar da razão pela qual se tornavam sacerdotes no passado.
QUEST_20150918_002423	Cada Estátua de Deusa tem habilidades diferentes, dependendo da deusa representada. {nl}Por exemplo, a estátua da Deusa Zemyna concede uma bênção que aprimora qualquer habilidade que você escolha.
QUEST_20150918_002424	$Mas a estátua da Deusa Ausrine em Klaipeda é meio estranha. {nl}Ela te leva a uma área escolhida, apesar de tal coisa ser o poder da Deusa Vakarine.
QUEST_20150918_002425	Desça, rápido. É perigoso. {nl}Esse lugar está vazio.
QUEST_20150918_002426	Eu não consigo sentir nenhuma magia.
QUEST_20150918_002427	Está vazio agora.
QUEST_20150918_002428	Calabouço Subterrâneo da Capela
QUEST_20150918_002429	Calabouço Subterrâneo da Capela (Nv Recomendado: 50){nl}Só você e os membros de sua equipe podem entrar juntos.{nl}Deseja entrar?
QUEST_20150918_002430	Calabouço Caído da Família Legwyn
QUEST_20150918_002431	Calabouço Caído da Família Legwyn (Nv Recomendado: 132){nl}Só você e os membros de sua equipe podem entrar juntos.{nl}Deseja entrar?
QUEST_20150918_002432	Calabouço da Torre da Arquimaga
QUEST_20150918_002433	Calabouço da Torre da Arquimaga (Nv Recomendado: 190){nl}Só você e os membros de sua equipe podem entrar juntos.{nl}Deseja entrar?
QUEST_20150918_002434	Calabouço Subterrâneo das Catacumbas
QUEST_20150918_002435	Calabouço Subterrâneo das Catacumbas (Nv Recomendado: 200){nl}Só você e os membros de sua equipe podem entrar juntos.{nl}Deseja entrar?
QUEST_20150918_002436	Estou cuidando da loja porque meu pai está ocupado. {nl}Posso não ser tão bom quanto meu pai, mas meu toque é preciso. 
QUEST_20150918_002437	Fique à vontade! {nl}Está meio cheia, mas muitos itens estão à espera de seus futuros donos.
QUEST_20150918_002438	Armazenador Zadan
QUEST_20150918_002439	Saudações. As coisas estão corridas por aqui, não é?{nl}Por favor, seja paciente enquanto fazemos nosso melhor para restaurar a área.{nl}Bem, como posso ajudar você?
QUEST_20150918_002440	Fedimian era conhecida por sua prataria. {nl}A cidade ainda está sendo restaurada, mas as habilidades de seu povo permanecem.
QUEST_20150918_002441	Esse lugar é maluco. {nl}A única maneira de se livrar desse maldito Cristal da Raiz da Árvore é queimá-lo. {nl}Precisamos de fogo. Muito fogo.
QUEST_20150918_002442	Essa é a cabeça da Estátua da Deusa lá?
QUEST_20150918_002443	Há uma caixa lá. Devo olhá-la?
QUEST_20150918_002444	$Vamos checar aquele barril lá.
QUEST_20150918_002445	Essa é a asa da Estátua da Deusa lá?
QUEST_20150918_002446	Hein? Como você chegou aí em cima?
QUEST_20151001_002447	Incrível.{nl}Isso deve ter sido criado centenas de anos atrás...{nl}Parece falar de você.{nl}
QUEST_20151001_002448	Não sinto nenhuma energia ou intenção maligna nisso.{nl}Se esse for o caso, essa revelação deve realmente ter vindo da Deusa Laima...{nl}
QUEST_20151001_002449	Estou surpreso com essa conversa de 'Salvador'.{nl}
QUEST_20151001_002450	Entre os muitos Reveladores, aquele capaz de salvar o mundo e as deusas...{nl}A revelação diz que você é esse Salvador.{nl}
QUEST_20151001_002451	Melhor não falar sobre isso.{nl}A não ser que queira que os demônios procurem por você.{nl}
QUEST_20151001_002452	Não quero mais falar sobre Salvadores e coisas assim.{nl}Agora, é melhor correr de volta para Uska.{nl}
QUEST_20151001_002453	Ele vai te dizer para onde ir.{nl}Que a deusa te abençoe no futuro.
QUEST_20151001_002454	Recepcionista Liam
QUEST_20151001_002455	Que tipo de pedido você está procurando?
QUEST_20151001_002456	Por favor, fique com alguém em quem você pode confiar.
QUEST_20151001_002457	Não temos um pedido apropriado para você.{nl}Por favor, busque um da próxima vez.
QUEST_20151001_002458	Há um pedido em progresso.{nl}Venha me ver de novo depois de terminar o pedido.
QUEST_20151001_002459	Esse pedido pode ser aceito pelo líder do grupo.
QUEST_20151001_002460	Calabouço da Floresta das Heras Espinhosas
QUEST_20151001_002461	Calabouço da Floresta das Heras Espinhosas (Nv Recomendado: 175){nl}Só você e os membros de sua equipe podem entrar juntos.{nl}Deseja entrar?
QUEST_20151001_002462	Foi um desastre... Muitas pessoas acabaram feridas ou mortas. {nl}Criaturas gentis ficaram violentas, e muitos novos monstros surgiram.{nl}
QUEST_20151001_002463	As melhores armas e armaduras são aquelas com as quais você se acostuma depois de muito tempo {nl}Para fazer isso, você precisa começar comprando itens bons.
QUEST_20151001_002464	As coisas que vendo têm bom preço e qualidade.
QUEST_20151001_002465	Muitas pessoas parecem estar vindo graças ao aviso de recrutamento de Sir Uska.{nl}Dê uma olhada ao redor à vontade, nada de ansiedade.
QUEST_20151001_002466	Os dias eram melhores quando Comandante Uska cuidava de Klaipeda.
QUEST_20151001_002467	Inteligência, juízo calmo e racionalidade fria. {nl}Essas são as qualidades necessárias para nossos Criomantes.{nl}Esses são os princípios que nunca mudarão, não importa o que aconteça com o mundo.
QUEST_20151001_002468	Morte em vão é a única coisa que espera no final para aqueles que simplesmente buscam ser audaciosos.{nl}Se deseja salvar o mundo, levante o escudo de Peltasta.
QUEST_20151001_002469	Eu ouvi dizer que os monstros estão andando em manadas fora de Klaipeda.{nl}Em vez de derrotá-los um a um, é melhor aprender minhas técnicas.
QUEST_20151001_002470	Meu dispositivo logo estará funcional. {nl}No fim do dia, você também será capaz de entrar na Torre da Maga.
QUEST_20151001_002471	Um ladrão que tolamente entrou nessa torre para roubar isso foi queimado vivo. {nl}Pelo menos, os monumentos que ele deixou servirão como um aviso aos outros invasores. {nl}- Agailla Flurry
QUEST_20151001_002472	Comandante Ruklys foi perdido em batalha, e a Fortaleza da Terra foi tomada. {nl}Algumas pessoas dizem que ele foi morto pela flecha de Lydia Schaffen,{nl}enquanto outras dizem que foi pelo feitiço dos mágicos reais, mas a única certeza é de que ele pereceu. {nl}É, de fato, uma má notícia.
QUEST_20151001_002473	Não há nenhuma esperança. Ah... minha estimada Ridell. {nl}O Exército Real não cumpriu sua palavra. Vamos todos morrer.{nl}
QUEST_20151001_002474	Mesmo se o mundo desabar, as pessoas ficarão.{nl}Se você tiver o desejo de vencer com companheiros confiáveis.
QUEST_20151001_002475	Esse também é meu desafio e dever, que Laima previu... {nl}Vou contar a mensagem de Laima.{nl}
QUEST_20151001_002476	$Se for bem pago, não há razão para impedir uma pessoa que deseja aprender minhas técnicas.{nl}Pelo contrário, essa pessoa será bem-vinda. {nl}Mas isso não quer dizer que ela precisa seguir todos os meus movimentos, entretanto.
QUEST_20151001_002477	Alguns Reveladores espantaram os demônios na Mina de Cristal. {nl}Que ótima notícia. {nl}Vá com calma e olhe ao seu redor.
QUEST_20151001_002478	Você ouviu os rumores sobre a Igreja da Doutrina?{nl}O Revelador pode vir ver a deusa.{nl}Eu também posso me beneficiar disso no que se refere ao meu negócio.
QUEST_20151001_002479	Fiquei muito feliz em ouvir essas ótimas notícias depois que você chegou aqui.{nl}Estava deprimido com o estado em que o mundo ficaria. Ah, vá com calma e olhe ao seu redor.
QUEST_20151001_002480	Ouvi dizer que a Mina de Cristal pode ser aberta novamente por causa de um Revelador.{nl}Não custa nada olhar, então fique à vontade.
QUEST_20151001_002481	Você soube o que aconteceu na Mina de Cristal?{nl}Eu ouvi dizer que um Revelador derrotou o assustador Lorde Demônio, e achei incrível.{nl}Por favor, não se apresse e olhe ao seu redor.
QUEST_20151001_002482	Eu esperava que a deusa estivesse na Igreja da Doutrina, mas parece que não era o caso.{nl}Mas tenho certeza de que os Reveladores a encontrarão.{nl}Então, decidi não aumentar os preços mesmo nesses tempos difíceis. {nl}Venha conferir!
QUEST_20151001_002483	É tão bom saber que a Mina de Cristal se abrirá novamente em breve. {nl}Eu achei que o mundo teria desabado logo. {nl}Vejamos, qual equipamento você quer verificar?
QUEST_20151001_002484	O Revelador que salvou a Igreja da Doutrina... Gostaria de consertar seu equipamento de graça,{nl}mas isso será difícil devido às circunstâncias atuais.
QUEST_20151001_002485	É fantástico que o Revelador tenha tomado a Mina de Cristal de volta das mãos dos demônios.{nl}Estamos envergonhados, já que deveria ter sido retomada por nós.
QUEST_20151001_002486	O Mestre Paladino poderia ter pedido nossa ajuda...{nl}Teríamos pegado o Rei Demônio se ele tivesse feito isso.
QUEST_20151001_002487	Não me importa quem salvou a Mina de Cristal.{nl}Ele não era um Criomante? Espero que não seja um Piromante.
QUEST_20151001_002488	Você salvou a Igreja da Doutrina... Mas a deusa não estava lá, não é?{nl}É uma pena. Todos desejavam muito ver a deusa.
QUEST_20151001_002489	Sobre a Mina de Cristal, eu não sei quem é o Revelador, mas ele completou um grande feito.{nl}Deveríamos simplesmente procurar pela deusa agora?{nl}
QUEST_20151001_002490	Eu achei que a Igreja da Doutrina não seria influenciada em Medzio Diena, {nl}mas se transformou em uma toca de demônios.{nl}Mas mesmo assim, ainda há esperança. Simplesmente teremos de começar novamente. 
QUEST_20151001_002491	Eu sinto vergonha do fato de que o Revelador fez algo que os Mestres não foram capazes de fazer.{nl}Veja bem... Não é um complexo de inferioridade.
QUEST_20151001_002492	Ouvi falar dessa Igreja da Doutrina. Não é demais? {nl}As expectativas quanto a você estão crescendo em Klaipeda. Você está ciente disso, certo?
QUEST_20151001_002493	Eu não pude salvar todas as pessoas na capital durante Medzio Diena. {nl}Mas eu ouvi que um Revelador salvou todos na Mina de Cristal. Isso é muito bom, de fato.
QUEST_20151001_002494	Sobre a Igreja da Doutrina, eu conheço bem aqueles Vigias.{nl}Eu queria que se mudassem de Klaipeda, já que o mundo está perigoso hoje em dia, {nl}mas eles me disseram que ficam mais confortáveis no Platô Geli.{nl}Tudo acabou bem por causa de você.
QUEST_20151001_002495	Eu quero pesquisar mais a fundo sobre o poder sagrado{nl}que o primeiro Mestre Paladino criou no Platô Geli.{nl}Se usarmos aquele poder, talvez seja possível encontrar uma forma de salvar o reino.
QUEST_20151001_002496	Os Vubbes saíram correndo da Mina de Cristal por causa do Lorde Demônio. {nl}Mas não sei por que eles levaram os habitantes. Você sabe algo sobre isso?
QUEST_20151001_002497	Não acredito. A lenda de Cunningham sobre a Mina de Cristal é verdade?{nl}Se sim, onde está ela?
QUEST_20151001_002498	Quando vi o Revelador pela primeira vez, eu achei que era um truque dos demônios...{nl}Mas já que ele retomou a Igreja da Doutrina, eu realmente acredito que pode salvar o mundo.
QUEST_20151001_002499	Eu ouvi sobre o que aconteceu na Mina de Cristal.{nl}Tenho certeza de que foram só Reveladores que as deusas enviaram.
QUEST_20151001_002500	Estamos felizes em ouvir que a Igreja da Doutrina foi retomada das mãos dos demônios.{nl}Mas ainda há um longo caminho pela frente. Sentimos vergonha por não participar ativamente.
QUEST_20151001_002501	As deusas sempre vencem.{nl}A derrota do Lorde Demônio Mirtis pelo Revelador é prova.
QUEST_20151001_002502	Mesmo as deusas não estando aqui, não temos dúvidas de que venceremos.{nl}O Revelador que protegeu a Igreja da Doutrina confirmou isso.
QUEST_20151001_002503	Todos pensaram que a lenda de Cunningham era só uma fábula.{nl}Mas já que o Lorde Demônio na Mina de Cristal realmente apareceu, quem seria aquela garota, afinal de contas...
QUEST_20151001_002504	Eu conheço o Mestre Paladino faz muito tempo.{nl}Ele deve ter tido algumas preocupações... Você fez algo incrível.
QUEST_20151001_002505	A Mina de Cristal é o começo da provação.{nl}Mas esse é o dever sagrado pelo qual vocês são responsáveis.{nl}
QUEST_20151001_002506	Quando a grande terra aceitar a morte e as estrelas distantes brilharem no horizonte...{nl} Aquele que busca a verdade se encontrará no limiar da vida e da morte eternamente. 
QUEST_20151001_002507	Laima nunca se revelou na história registrada.{nl}E ela estava esperando por você enquanto fazia a revelação durante esse longo período.
QUEST_20151001_002508	Esplêndido. Ouvi dizer que algum Revelador derrotou o Lorde Demônio.{nl}Mas o mais surpreendente é a lenda de Cunningham ser verdadeira.
QUEST_20151001_002509	Eu ponderei sobre muitas coisas desde que ouvi que a Igreja da Doutrina foi protegida.{nl}Todos esses desastres provavelmente ocorreram por algo muito maior do que poderíamos ter imaginado...
QUEST_20151001_002510	Não sei quem é o Revelador, {nl}mas é fantástico saber que o Lorde Demônio na Mina de Cristal foi derrotado.{nl}Agora, sonhar com a esperança não é mais algo sem sentido.
QUEST_20151001_002511	Temo pela segurança do Mestre Paladino,{nl}apesar de ter sido ótimo proteger a Igreja da Doutrina.{nl}Ele se concentrou em recuperar por muito tempo quando usou o objeto divino{nl}na capital durante Medzio Diena.
QUEST_20151001_002512	Eu ouvi que os demônios falharam em ocupar a Torre da Maga por conta do Revelador{nl}que apareceu recentemente. Mas eu era um deles, {nl}eu teria preparado o suficiente para que ninguém tentasse ocupar a torre. {nl}Ao contrário do que aconteceu com minha família.
QUEST_20151001_002513	Como ousa um Lorde Demônio insultar os ensinamentos de Maven...{nl}Naktis pagou o preço por isso.
QUEST_20151001_002514	Eu ouvi falar do Revelador que expulsou os demônios da Torre da Maga.{nl}Os Mestres não fizeram nada. É claro, eu também não fiz nada.
QUEST_20151001_002515	Todos estão ocupados tentando sobreviver depois de Medzio Diena, {nl}então eles não têm tempo para pensar em ir até a grande catedral.{nl}Mas todos dependem da Grande Catedral. {nl}O Revelador completou uma tarefa enorme.
QUEST_20151001_002516	Não sei quem é o Revelador, mas eu poderia ter salvado a Torre da Maga melhor do que ele. {nl}Claro que uma compensação seria necessária
QUEST_20151001_002517	Mesmo uma pessoa como eu que vai atrás do dinheiro, sabe da importância da Grande Catedral.{nl}Mas uma coisa chamou minha atenção... Os colares do sábio Maven. {nl}Eles não estão nas mãos dos demônios, certo?
QUEST_20151001_002518	Cheguei aqui passando por ventos e ondas fortes, {nl}enquanto você chegou aqui passando pela Floresta das Heras Espinhosas.{nl}Você deve estar brincando se disser que não encontrou as deusas. Sério, como você fez isso?
QUEST_20151001_002519	Se a Torre da Maga desabar, Fedimian não estará mais segura.{nl}O Lorde Demônio Helgasercle... o fim da obsessão acaba em vão. 
QUEST_20151001_002520	Desde que os Reveladores que sonhavam com as deusas apareceram, {nl}as mãos dos demônios os libertaram um a um.{nl}O mesmo vale para a Grande Catedral. {nl}A prova de que as Deusas não nos abandonaram são eles.
QUEST_20151001_002521	Deixando o reino
QUEST_20151001_002522	Uma árvore gigantesca se ergueu das profundezas da capital.{nl}O tamanho da árvore era tal que não podia sequer se comparar à grandeza de qualquer montanha.{nl}Como resultado, muitas cidades e vilarejos foram destruídos, e muitas pessoas perderam seus entes queridos.{nl}
QUEST_20151001_002523	Mas os desastres não pararam por aí.{nl}A energia maligna começou a cercar os territórios e os monstros começaram a ficar agressivos. {nl}Demônios começaram a atacar.{nl}Era como uma doença incurável, não vimos nenhum sinal de recuperação.
QUEST_20151001_002524	Ainda assim, ninguém sabia onde estavam as deusas.{nl}As mesmas deusas nas quais confiávamos desapareceram sem deixar rastro ou responder às nossas preces.{nl}O povo ficou irado e deprimido, e logo só lhes restava ficar resignados pelo abandono.{nl}Começamos a fazer nosso melhor para lutar contra o caos, {nl}mas quanto mais o fazíamos, maiores eram os desentendimentos. {nl}A morte estava sempre próxima, e aos poucos nos tornamos sombrios. 
QUEST_20151001_002525	Ficamos sombrios com toda a tristeza e dor.{nl}Como se tivéssemos perdido nossas vidas, desistimos de tudo e não fazíamos mais nada.{nl}Era como enxergar o fim da história do reino...{nl}Só repetíamos os nomes das deusas.{nl}
QUEST_20151001_002526	Terminarei meus escritos por aqui e deixarei esse reino para trás.{nl}Não estou feliz com meus sentimentos de impotência e depressão.{nl}Vou partir para um lugar onde posso sonhar novamente com esperança...
QUEST_20151001_002527	Salvador...{nl}Laima nos disse que sonhara com o desabamento do mundo.{nl}E entre os muitos Reveladores, um Salvador viria para salvar todos.{nl}
QUEST_20151001_002528	Entretanto, não posso confiar completamente na previsão de Laima.{nl}
QUEST_20151001_002529	Que o Salvador apareceria algum dia...{nl}Eu deveria ter sido responsável pelas chamas do mundo, mas ignorei meus deveres.{nl}
QUEST_20151001_002530	Eu achei que a razão pela qual eu tive que seguir a revelação em nome de Agailla Flurry{nl}estava relacionada à sua morte e a sua relação infeliz com Helgasercle.{nl}
QUEST_20151001_002531	Mas tudo foi completado, como previsto por Laima.{nl}Depois de Medzio Diena, eu tive de resistir à longa luta com meu poder fraco.{nl}
QUEST_20151001_002532	Obrigado por me resgatar, Salvador.{nl}Eu deveria ter escutado Laima antes... e me arrependo dos dias no passado.
QUEST_20151001_002533	Talvez eu perca meu fôlego em breve. {nl}Peregrinos, que a bênção da deusa esteja com vocês!
QUEST_20151001_002534	O que era a coisa que ela estava procurando até o final?{nl}Tenho certeza de que há uma história triste por trás disso.
QUEST_20151001_002535	Raízes da Árvore de Cristal estão me matando lentamente.{nl}Sinto como se estivesse me afogando.{nl}
QUEST_20151001_002536	Perdi todos os desejos. Estou morrendo? {nl}Comer e até respirar parecem não fazer sentido para mim.{nl}
QUEST_20151001_002537	Isso certamente não é um ensinamento de Maven. {nl}Cobiça? Preguiça? Como poderíamos chamar matar uns aos outros de lição? {nl}Tenho até inveja de Dion, por ter morrido primeiro.{nl}
QUEST_20151001_002538	Se ao menos eu tivesse um pouco mais de tempo... {nl}Os dados que coletei perto da Bifurcação Dykyne... Não posso deixá-los...
QUEST_20151001_002539	O arqueiro dá uma flecha como presente, mas o inimigo a recebe como morte.{nl}Acho que o mundo é assim agora.
QUEST_20151001_002540	$Ficarei aqui com os Crentes. {nl}De alguma forma, evitarei que a Floresta Espinhosa se expanda ainda mais.{nl}
QUEST_20151001_002541	Não conte para eles sobre mim por algum tempo.{nl}Humanos precisam de um lugar para se apoiar...{nl}Quando eles descobrirem sobre a impotência das deusas, esse mundo voltará a ser tomado pelo caos e suspiros.{nl}
QUEST_20151001_002542	O guardião do Mausoléu Real onde a próxima revelação aguarda está bem longe daqui.{nl}Abrirei um portal para você como um atalho.{nl}Em nome de Saule, a deusa do sol, rezarei pela sua segurança.
QUEST_20151001_002543	$Falando em vida eterna... veja Tesla. {nl}Você imaginaria que não se envelhece com vida eterna, concorda?
QUEST_20151001_002544	(Há palavras pouco legíveis aqui.) {nl}...Euros não podia mais prender a respiração, então acabou inalando os esporos e morreu. {nl}Os Coguervas caçam pessoas com o método mais cruel que já vi. {nl}Eles circulam nossos locais de encontro e chacoalham os cogumelos que liberam esporos.{nl}
QUEST_20151001_002545	Mesmo quando as deusas não estão por aqui, os Oráculos ainda podem entregar a mensagem delas às pessoas. {nl}Certamente, isso é prova de que as deusas ainda existem.
QUEST_20151001_002546	$Medzio Diena não foi a vontade da natureza.{nl}Afinal de contas, a natureza é governada pelas deusas, e elas jamais fariam mal a todos nós.
QUEST_20151001_002547	Ofereço essa Estátua da Deusa, na qual coloquei todo meu carinho e alma, à deusa da grande honra e luz.
QUEST_20151001_002548	Entre meus discípulos, dois deles me seguiram até minha velhice e também serão meus sucessores depois da minha morte. {nl}
QUEST_20151001_002549	... Estou pensando se deveria agradecer às deusas por essa descoberta ou me preocupar que meu anseio por conhecimento possa arruinar o mundo.{nl}
QUEST_20151001_002550	Não posso dormir devido ao medo dos resultados da minha pesquisa serem espalhados por interrogatórios dos demônios. {nl}É por isso que desejo passar o resto da minha pesquisa para aquele em que posso confiar.
QUEST_20151001_002551	Você tem interesse na vida eterna?{nl}Nós, necromantes, controlamos os mortos, então é fácil quando você pensa nisso.{nl}
QUEST_20151001_002552	Se ele perguntar sobre o tempo, diga a ele que ficará ensolarado.{nl}Muito bem, contarei com você enquanto espero.
QUEST_20151001_002553	Se ele perguntar sobre o tempo, diga a ele que será nublado. {nl}OK, então, contarei com você enquanto espero.
QUEST_20151001_002554	Se ele perguntar sobre o tempo, diga a ele que será chuvoso. {nl}OK, então, estarei esperando por você.
QUEST_20151001_002555	Sou o comerciante vendendo bens em Fedimian.{nl}Você precisa de algo de mim?
QUEST_20151001_002556	Sim, temos muito chão pela frente, então espero que não chova.{nl}O tempo não vai piorar hoje, certo?
QUEST_20151001_002557	Então foi você que o Mestre Monge enviou.{nl}Também recebemos os bens corretamente.{nl}Por favor, transmita minha gratidão ao Mestre Monge.
QUEST_20151001_002558	É mesmo... Devemos nos apressar então.
QUEST_20151001_002559	Infelizmente, não temos nenhum bem para vender por enquanto.
QUEST_20151001_002560	Cuidado quando estiver voltando.
QUEST_20151001_002561	Jamais perdoarei os monstros que mataram minha família. {nl}Apesar do meu corpo voltar ao chão, minha alma ainda queima com ódio. {nl}Ó, deusa. Apenas o sangue dos monstros pode esfriar meu ódio.
QUEST_20151001_002562	Rei Kadumel finalmente morre.
QUEST_20151001_002563	Os equilíbrios mútuos de poder entre demônios e deusas esteve estável por muito tempo.{nl}Contanto que eles não cruzem pelos territórios dos outros.{nl}
QUEST_20151001_002564	Mas os demônios invadiram primeiro.{nl}E das Geadas de Pedra... até os espíritos viraram pedras.
QUEST_20151001_002565	Enquanto os demônios começaram a lançar sua maldição de petrificação nessa região, as deusas tentaram salvar os humanos.{nl}Entretanto, os demônios alertaram as deusas que fazer isso violaria os tratados que eles haviam concordado mutuamente...
QUEST_20151001_002566	Me dê licença por um instante. É uma memória horrível...{nl}Eles causaram a catástrofe. {nl}Uma forte catástrofe que fez as deusas desistirem de salvar esse lugar.
QUEST_20151001_002567	As deusas já desistiram do resgate, já que não puderam fazer nada durante Medzio Diena.{nl}Mas ainda não é hora de desistir.
QUEST_20151001_002568	$Salvador.{nl}Como você pode ver, não posso fazer nada pessoalmente por enquanto.{nl}Como você ficou sabendo, depois de Medzio Diena, meus poderes ficaram enfraquecidos...{nl}
QUEST_20151001_002569	{memo X}Nessa prisão, um desastre está prestes a ocorrer.{nl}Os demônios continuam vindo pela fenda dimensional,{nl}e estão tentando tomar essa prisão como seu novo acampamento.{nl}
QUEST_20151001_002570	Não me resta mais nenhum poder para fechar a fenda dimensional.{nl}Mas acho que ainda existe um jeito.{nl}
QUEST_20151001_002571	Seu auxílio é a única maneira de virar essa situação.{nl}Já que sou impotente, por favor, me empreste seu poder para fechar a fenda dimensional.
QUEST_20151001_002572	Imperdoável
QUEST_20151001_002573	Além disso, o coração de um Stoulet é necessário depois de oferecer as flores.{nl}Você quer dedicar um Coração de Stoulet em troca da minha bênção?
QUEST_20151001_002574	Minha atenção vai até o pó negro que está nesse pilar. Devo raspá-lo até removê-lo?
QUEST_20151001_002575	Está ilegível.
QUEST_20151001_002576	{memo X}Você consegue ver o número 1 no pilar.
QUEST_20151001_002577	{memo X}Você consegue ver o número 2 no pilar.
QUEST_20151001_002578	{memo X}Você consegue ver o número 3 no pilar.
QUEST_20151001_002579	{memo X}Há algo vagamente familiar escrito no pilar. Isso é um pedaço do símbolo?
QUEST_20151001_002580	Martelo? Você precisa dele para criar um sacrário?
QUEST_20151001_002581	{nl}Não posso te dar o que eu estava usando, então leve isso, se quiser. Ele será perdido depois de usado. 
QUEST_20151001_002582	Martelo, já te dei. Por que você está pedindo isso de novo?
QUEST_20151001_002583	Consertando o Sacrário...
QUEST_20151001_002584	Em circunstâncias normais, eu venderia, mas vou só te dar isso de graça dessa vez. {nl}Mas só pode ser usado uma vez.
QUEST_20151001_002585	Quanta ganância. Um bastará.
QUEST_20151001_002586	{memo X}Quadro de Aviso de Kedorlaomer
QUEST_20151001_002587	{memo X}Essa região é o sítio de escavação dos Comerciantes de Kedorlaomer. {nl}Todos os peregrinos devem ser cuidadosos.
QUEST_20151001_002588	{memo X}Recebeu os benefícios dos comerciantes de Kedorlaomer.{nl}Energias estão se acumulando.
QUEST_20151001_002589	{memo X}Há um objeto sagrado no lado superior direito.
QUEST_20151001_002590	{memo X}Há um objeto sagrado no lado superior.
QUEST_20151001_002591	{memo X}Há um objeto sagrado no lado superior esquerdo.
QUEST_20151001_002592	Está abaixo?
QUEST_20151001_002593	{memo X}Há um objeto sagrado um pouco afastado do lado superior direito.
QUEST_20151001_002594	{memo X}Há um objeto sagrado um pouco afastado do lado superior esquerdo.
QUEST_20151001_002595	{memo X}Há um objeto sagrado um pouco afastado do lado superior esquerdo.
QUEST_20151001_002596	{memo X}Há um objeto sagrado longe do lado superior direito.
QUEST_20151001_002597	{memo X}Há um objeto sagrado longe do lado superior.
QUEST_20151001_002598	{memo X}Há um objeto sagrado longe do lado superior esquerdo.
QUEST_20151001_002599	Haha, obrigado.
QUEST_20151001_002600	{memo X}O Monóculo detectou uma força especial. É a caixa na frente.
QUEST_20151001_002601	{memo X}Você está dizendo que não havia qualquer força especial ou demônios no lugar que mencionei, e que apenas um senhor idoso que gerencia a Fortaleza da Terra se encontrava lá, é isso? Você contou algo sobre mim para ele?
QUEST_20151001_002602	{memo X}Então você não contou a ele nada sobre mim? Isso é bom!
QUEST_20151001_002603	{memo X}Você precisa de um certificado para poder ir para a próxima região.
QUEST_20151001_002604	Espere! Você ouviu algo?
QUEST_20151001_002605	Pare de pensar que esse é um método ruim. É o melhor método que consegui imaginar para ajudar você por enquanto.
QUEST_20151001_002606	Espírito do Membro do Esquadrão de Ruklys
QUEST_20151001_002607	Quero me juntar às deusas.
QUEST_20151001_002608	Premiê Eminente
QUEST_20151001_002609	{memo X}A revelação das deusas que buscamos está próxima.
QUEST_20151001_002610	{memo X}Você ativou o círculo mágico novamente!
QUEST_20151001_002611	{memo X}Mesmo que eu morra, impedirei você de obter a revelação!
QUEST_20151001_002612	{memo X}Meu leal subordinado, Mandara! Mate esse Revelador arrogante!
QUEST_20151001_002613	É uma felicidade poder ver você novamente.
QUEST_20151001_002614	Lembra quando pedi para verificar se o Monóculo detectou qualquer poder forte?{nl}Você me disse que só havia um velho gerente lá. {nl}As coisas que achamos que estavam escondidas sob a força especial eram, na verdade, demônios. {nl}E ainda mais absurdo, o objeto responsável pelo poder que sentimos era, acredite se quiser, o gerente.
QUEST_20151001_002615	Depois que me separei de você, estive procurando pelo Monóculo... {nl}Só havia demônios no lugar onde a força especial foi detectada.{nl}Então achei que talvez o Monóculo só pudesse ser visto por demônios...
QUEST_20151001_002616	Eu vou para o lado esquerdo. Vá para o lado direito e procure pelas peças.
QUEST_20151001_002617	Quase fomos mortos pelos demônios.
QUEST_20151001_002618	O guarda perdeu sua consciência. Vamos pegar as bombas.
QUEST_20151001_002619	Você teve sucesso distraindo os guardas.{nl}Vamos mais fundo!
QUEST_20151001_002620	Não quero encontrar você como inimigo da próxima vez.{nl}Vamos voltar onde Delus está.
QUEST_20151001_002621	Você é um intruso, mas acho que não temos escolha.{nl}Eu vou ao lugar onde meus colegas estão.
QUEST_20151001_002622	Droga... E pensar que tenho que pedir ajuda a um intruso...{nl}Bem, eu voltarei.
QUEST_20151001_002623	Não podemos simplesmente ignorar sua intrusão na Fortaleza da Terra. {nl}É claro, não podemos esquecer a sua ajuda.
QUEST_20151001_002624	Estamos gratos pela ajuda, mas a ordem real não pode ser ignorada.
QUEST_20151001_002625	Por favor, saia da Fortaleza da Terra.
QUEST_20151001_002626	Espírito do Exército de Ruklys
